id,name,sort
01,IT／通信,1
02,メーカー（機械／電気）,3
03,メーカー（素材／化学／食品／その他）,4
04,総合商社,5
05,専門商社（卸）,6
06,医療関連,7
07,金融,8
08,建設／プラント／不動産,9
09,コンサルティング／リサーチ／専門事務所,10
10,人材サービス／アウトソーシング／コールセンター,11
11,インターネット／広告／メディア,2
12,小売,12
13,運輸／物流,14
14,エネルギー（電力／ガス／石油／新エネルギー）,15
15,旅行／宿泊／レジャー,16
16,警備／清掃,17
17,理容／美容／エステ,18
18,教育,19
21,農林水産／鉱業,20
22,公社／官公庁／学校,21
23,その他,23
24,外食,13
25,冠婚葬祭,22
